doc_id,title,section,extraction_method,word_count,arabic_ratio,language_assessment,quality_flags,beginning_sample,middle_sample,end_sample,needs_review
constitution_jordan_2022,الدستور الأردني لعام 2022,الدستور الأردني,unknown,11168,0.721,PRIMARILY_ARABIC,,5 دستور المملكة األردنية الهاشمية الفصل األول الدولة ونظام الحكم فيها المادة1 المملكة األ ردنية الهاشمية دولة عربية مستقلة ذات سيادة ملكها ال يتجز أ وال ينزل عن شيء منه ، والشعب األ ردني جزء من األ مة...,( 2 ) المادة71 ( 3 ) ( 4 ) 1. تختص محكمة التمييز بحق الفصل في صحة نيابة أعضاء مجلس النواب وفقا ألحكام القانون على أن يقدم الطعن خالل خمسة عشر يوما من تاريخ نشر نتائج االنتخابات في الجريدة الرسمية وعلى,1 ، 109 ، 112 ، 119 ، 122 ، 128 67 ، 127 5138 و5139 1/9/ 2014 5299 12 40 ، 42 ، 50 ، 69 ، 75 ، 127 2573 - 2575 5/5/ 2016 5396 13 ، الفصل الثاني6 ، 40 ، 44 ، 52 ، 53 ، 54 ، 60 ، 61 ، 64 ، 67 ، 69 ، 70 ...,False
laws_15,قانون غرف الصناعة رقم 10 لسنة 2005,القوانين,ocr_pytesseract,3174,0.0,PRIMARILY_ENGLISH,"LOW_ARABIC, NO_LEGAL_TERMS",Se YVAN 9pAA Tf gr (171) Sool! tion lgp alg Let Ldone 0) 5 Lie te sLing ofl) oligo yg NN le Sol nai  gl cp sitad oI A dol Youd dad (1) ad ooild Asal Syé Kygi8 9G Cpe 4p forag (1-60 Rand Aelia! 5 y Cyg...,AUF (Sho Ming! Lagd of dye! Lgageede Bate gf Ug flo! loro eG 449 gl ud] jUgbl of Mlaru gf SUgIL ulovodl b ginal! jo yo pub 1311-1 A5.,GlBgd vant pgiSall chy pill cia gy 2 giSall NaN pis _ Ast els ty ike gleall Lar gl 93S y Agi SALA Gy gpl a anal) Gale Gali gauill tind gt ag Sh aed 3 gr ws corres) Hs Joshi) 559 Aaileall Ayaicll alall...,True
laws_18,قانون حماية الانتاج الوطني رقم 21 لسنة 2004,القوانين,ocr_pytesseract,2652,0.0,PRIMARILY_ENGLISH,"LOW_ARABIC, NO_LEGAL_TERMS",99 AA er (11) So Lt ati lp ly OL et Lleol te sLitg ofr ol p-alig 51 og WI le Gola ! gal sla It a siloly Yoat Aud (V4) of) cagild eee TW Yl ogi 4 forug (To   Riad ogi! CLI Alam ogil5) og iLAIT ie coms ...,gonna poi UT YU oleig ASU! ofall Gulag Ub! slau Wai laat Sill equa! ages ote 3b pty Lee pd gill CVU ola ASlgd pill SUNT psy 13 pune f31 ll  Ungligtenl (oF gl pqs! 29 OAM 8 (02) 9 (I) coed sil Geats Ma...,la elle 5 sisal AG) iy _ ws SGN! g Atal JRAYI a jy Ad abet iy Ayisaall 5g sil Aelia) dail) ail iss ggtlel) Conall g thay pa JE Qusiquall gS 9) VAL agenall ga) ally Qudigall  g he j plat sisal cust) au...,True
laws_19,قانون الأسماء التجارية رقم 9 لسنة 2006,القوانين,ocr_pytesseract,2029,0.0,PRIMARILY_ENGLISH,"LOW_ARABIC, NO_LEGAL_TERMS",AyoSlyll Ago Y! ACLool! Elle Guard Cyl SW! at ae Gd 99 ee (11) Sol et rnin lpg OL ne! Lloro) Sle ste rLng ool lig I og ST le Gola  Lgl citys I 45lolg Tas  Abad (8) aby oy gilt By yo! claw! gi Fey Cpe ...,pew VI ad cle Ris yg y0 ey pal)  Aaa a5 SAU SRT YT feat Cally pall 8 Blt eke SyLEa TULA  Salad! od yo () 5 i oS 049 low poe gM cle -E cat trend Sole! Cle of Solel os pS Y Lily aula pi Su!,5-3 _ Relagy! atl SU 5 daa Cle gleall Lin gl yiS3y Jag) gh) glad 5 sisal Jbaai yale gl pe,True
laws_20,قانون الإعفاء من الأموال العامة رقم 28 لسنة 2006,القوانين,ocr_pytesseract,429,0.0,PRIMARILY_ENGLISH,"LOW_ARABIC, NO_LEGAL_TERMS",n Ape lgl A091 Wael Elle Geno! cyt IW! abot ue od 99_  aaert n (171) Soleo ats gg Let Llone 0) 5 Lo gle rng opel pol 5! og ST te Gola Ta Ql cp ig (oI! Asin Veo t Abad (VA) aby cil dala! flood! co SUEY...,"4 : . OY Hasd (TE) pe By Lis wo! Jlgee Yl pe SEM gi _ eb -1 ES Lal! Lx! lt . as of 3 PLT 0 Ad LS SA Cool IS! Si Gi PEL Jou YG  gil tos  CGSB Tse lol ain Srgilo 15 jolly 1, 9d!","iB sams ousgll 7s 3 Feleall Ayadll 39 Ash 3S cee ri] AGU pl og 525. 99 eS 4 95. eoghll Jole 3 35ull laws! Bye 9 gS! 8 ay CYL js ucla! Ayes! JUV), a! ciloglall Ler glgiSiy Soy) bi) Gloghs 4 35. 0! shes...",True
laws_22,قانون الرقابة والتفتيش على الأنشطة الاقتصادية رقم 33 لسنة 2017,القوانين,ocr_pytesseract,2920,0.0,PRIMARILY_ENGLISH,"LOW_ARABIC, NO_LEGAL_TERMS","ound  A patty Agia 8) AS Leal) cle Cpl Cel ALN alae ya 9  il Gee (8) Salat (ct, hop ihy GLE Lda oy Bs (ple sling octyl g (FY) yg i (te gala np Ad oll Gil ob il) Atel g YeNy Laud (PT) a8 gil AysleaBy) ...",gall o1re  apis Gedy Lad oS) Glee Aataj tS 8 Ley att! - lin oll) ag 5g ile Liinalls od pally dilell (3) gui (til gallg GLY guatl eas Gl gaudy GllLanall pLGil  Lite yl y Lgddtil.,Blade bya ois oy) es) Data rebacllg PN ae Tallites alyim gal prec pte tll Btu weper pee Sye nt) ici pial dcp Shem doar aie say oaly oan Teh Sap Sty lla data Cas taya alana glo vase hight Tabiglpiall d...,True
laws_24,قانون تنظيم مهنة المحاسبة القانونية المؤقت رقم 73  لسنة 2003,القوانين,ocr_pytesseract,4415,0.0,PRIMARILY_ENGLISH,"LOW_ARABIC, NO_LEGAL_TERMS",yr at Lent Lis V1 claoll elle eyacrll Of gil abl ne god Il gant (AE) Bola (1) 5 all sation PoP PUNY ty FL jg I yulore 0) Ble gale sLuisg PM a cgi ole yy taal (11) Solel aatiy Gola Bhatt ital age _ning...,"Lal Rall Caiady (31-9 oT He 43d 1, 6 ye lags cy EJ blelt Jorst loll Cp SF ga Gable pei ogo quel ud) Sern Y   4b, Jlool (Agl oll Bjlo-f doen Judy  dalle cle Uiblgal!",. 5 Ayn JS) Coa'ptll Uys yd bean on jal blaily deta AS gy Lea ASN dss BN cage punky gS Coan pala cgall yi Guid Che ysis _ A as jaa ls eal aly ssa ee ; gpg Lath iy ais Leys Lys Yeti Gait sae ysl yale S...,True
laws_25,قانون الإعسار رقم 21 لسنة 2018,القوانين,ocr_pytesseract,16993,0.0,PRIMARILY_ENGLISH,"LOW_ARABIC, NO_LEGAL_TERMS",ata  A patlg) Agia) As Leal) Alle Cuawell Cul QUEM able Gal Sill Ge () Bal al (cat Goes Gh) L_sulaa o Bla te sling a1 LN gall Gait gf Coll Atal g Ve VA Add (V9) aby sil wey) sila 3) uci! dale alsai da...,Cand Vg Cy gTLAN 1a Cpa Qautl) acai (6B Ugale (ye puaiall Bae el gill sey Agaageill Ata yall (gi baal) ple 453) gall _ egalty ciluad 8 yo. tua oi AbSN te Gal icy! AAS 3) Saal) oda Cpe (i) BRAN (28 apg...,ois ois os) ebay aN TrSuballGaptily Atal sata alga SHpM ada dal pa gent Tatil dal pple too soem Sel Sol Balen ge Thanh Tae hal Cally athyit Tila cra tUialga Coenen cla! atau eae 98 args poli ge oem tt...,True
laws_27,قانون ضمان الحقوق بالاموال المنقولة رقم 20 لسنة 2018​,القوانين,ocr_pytesseract,4540,0.0,PRIMARILY_ENGLISH,"LOW_ARABIC, NO_LEGAL_TERMS","YYAY A petlg) Agha ) Asbeal) le Gell Cyt pill) alae Gal Ql! Ce (yr ) Saal) (tie, hoes Gye) Lalas oy Bs (le sling onal alg 9) Gg Sta (te gala a1 LN gall Gat gf (oll 4a Ve VA Add ( ) ay Cg ill AL Bal Sl...",Ga pray cpl gf paliions gh pike ogi jpda cole (gil nd So gail  oli} Guy AaB gl) Buell JS LEG Leute lita! ga Ct plgl ABE ILS SEY) aly Gi le olgedil y Laxal,ay ean Ft oo) giles lye gal pegs ygieienlll SiN dee deol pee pecs Trabshall 5a Ny Halal ates Cradtd alga Sell Tatiglyiall ole (ole tlio 9iseemill Sel Salo Salons Age Ble Meal pho yids alba Trapt Masih...,True
systems_41,نظام العلامات التجارية وتعديلاته رقم 1 لسنة 1952,الأنظمة,ocr_pytesseract,5879,0.0,PRIMARILY_ENGLISH,"LOW_ARABIC, NO_LEGAL_TERMS",arig ILA Glogle ol Glas 5 5jo ADALEH Center for Legal Information InfoAdaleh. tnto V4ey Aiud Vad) Addins Ayla! ) Gldlal! ala VAOVV YN Tees VY 4 aby Apemayll Baal) ase Ge PAV Aadsall 16) giiiall V4 Oy ...,0 Salad  galicy) Aaa ob Gull) 65Ub al 13) ciytuaall Sal) alah oye GIS 13) Lad ball slaved gal Casall le Gang Gabjio VI Aone cob Alba gli al 1 chel ob Gaia! GIS gl Led lela) SIS Gains (Seal!,11 ye -  Alpine dyylet Adle lara cle U5 de ad cle] lb . 1V Y. -  allaill aa Gye VY Salell aster (Siri ela! Gil . 1A Ys -  asad Wyyruay Sales (sl il 14 Yeoo-  allaill Las Gd Gai dle ay al lb gl 1) 2022...,True
